id,nombre,tipo_cocina,localizacion,descripcion,puntuacion_media,num_valoraciones
3731,Asador Atlántico,mexicana,Ourense,"Restaurante de cocina gallega situado en un entorno urbano de estilo industrial. Es habitual encontrar productos de temporada en el menú. Especializado en sushi fresco preparado al momento, resulta ideal para eventos de empresa. El servicio es cercano y cuida cada detalle.",4.65,279
3732,Pizzería House,healthy,Zaragoza,"Ofrece opciones para vegetarianos y celíacos. La relación calidad-precio es uno de sus puntos fuertes. Especializado en tapas variadas para compartir, resulta ideal para brunch de fin de semana. Restaurante de cocina india situado en un entorno animado y perfecto para grupos.",3.95,149
3733,Grill Lumière,americana,A Coruña,"Restaurante de cocina japonesa situado en un entorno urbano de estilo industrial. Suele incorporar sugerencias fuera de carta. Incluye opciones sin gluten bajo petición. Especializado en tacos mexicanos con salsas caseras, resulta ideal para reuniones informales.",4.85,99
3734,Sushi Do Sol,gallega,A Coruña,"Incluye opciones sin gluten bajo petición. Restaurante de cocina india situado en un entorno tranquilo y silencioso. Especializado en postres caseros inspirados en recetas locales, resulta ideal para cenas en pareja. Suele incorporar sugerencias fuera de carta.",3.54,312
3735,Sushi Delicias,china,Santiago,"Suele incorporar sugerencias fuera de carta. Especializado en platos de cuchara tradicionales, resulta ideal para reuniones informales. Restaurante de cocina italiana situado en un entorno moderno y luminoso. Ofrece opciones para vegetarianos y celíacos.",4.61,298
3736,Curry Lumière,vegana,Vigo,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas de negocio. Restaurante de cocina gallega situado en un entorno moderno y luminoso. La cocina es visible desde la sala principal. Se pueden adaptar platos al gusto del cliente.",3.65,242
3737,Taberna Bella,india,A Coruña,"El espacio combina mesas altas y bajas. La cocina es visible desde la sala principal. Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas rápidas entre semana. Restaurante de cocina india situado en un entorno urbano de estilo industrial.",3.85,270
3738,Tandoori Select,italiana,Vigo,"Dispone de menú del día con varias alternativas. El equipo de cocina apuesta por sabores intensos. Especializado en carnes a la brasa de larga maduración, resulta ideal para comidas de negocio. Restaurante de cocina vegana situado en un entorno tranquilo y silencioso.",4.34,482
3739,Casa Del Mar,mexicana,Bilbao,"La relación calidad-precio es uno de sus puntos fuertes. Dispone de menú del día con varias alternativas. Especializado en ensaladas healthy con productos de temporada, resulta ideal para cenas en pareja. Restaurante de cocina americana situado en un entorno acogedor y cálido.",4.69,136
3740,Taberna Rica,fusión,Pontevedra,"Ofrece opciones para vegetarianos y celíacos. Se pueden adaptar platos al gusto del cliente. Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas de negocio. Restaurante de cocina fusión situado en un entorno moderno y luminoso.",4.14,263
3741,Pizzería Friends,mexicana,Zaragoza,"Restaurante de cocina americana situado en un entorno animado y perfecto para grupos. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares. La mayoría de los ingredientes son de proximidad. Incluye opciones sin gluten bajo petición.",4.22,118
3742,Trattoria Lumière,china,Lugo,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en pizzas artesanales al horno de leña, resulta ideal para reuniones informales. La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina japonesa situado en un entorno romántico con iluminación tenue.",3.92,349
3743,Cantina Lumière,gallega,Bilbao,"Es habitual encontrar productos de temporada en el menú. Restaurante de cocina india situado en un entorno informal y desenfadado. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas rápidas entre semana. Ofrece opciones para vegetarianos y celíacos.",3.94,333
3744,Veggie World,americana,Madrid,"Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas de negocio. La cocina es visible desde la sala principal. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina mediterránea situado en un entorno informal y desenfadado.",4.76,82
3745,Tandoori Friends,gallega,Santiago,"El servicio es cercano y cuida cada detalle. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina healthy situado en un entorno moderno y luminoso. Especializado en ensaladas healthy con productos de temporada, resulta ideal para reuniones informales.",4.99,376
3746,Pizzería Galicia,italiana,Ourense,"Se pueden adaptar platos al gusto del cliente. Restaurante de cocina mediterránea situado en un entorno romántico con iluminación tenue. Ofrece opciones para vegetarianos y celíacos. Especializado en carnes a la brasa de larga maduración, resulta ideal para eventos de empresa.",3.87,451
3747,Steakhouse Lumière,japonesa,Valencia,"El equipo de cocina apuesta por sabores intensos. Restaurante de cocina fusión situado en un entorno acogedor y cálido. El servicio es cercano y cuida cada detalle. Especializado en ensaladas healthy con productos de temporada, resulta ideal para celebraciones familiares.",4.5,223
3748,Tapas Del Mar,vegana,A Coruña,"Restaurante de cocina india situado en un entorno moderno y luminoso. La mayoría de los ingredientes son de proximidad. El servicio es cercano y cuida cada detalle. Especializado en ensaladas healthy con productos de temporada, resulta ideal para cenas en pareja.",4.0,77
3749,Trattoria Zen,mediterránea,Lugo,"Especializado en pizzas artesanales al horno de leña, resulta ideal para cenas en pareja. Restaurante de cocina india situado en un entorno informal y desenfadado. Es habitual encontrar productos de temporada en el menú. Dispone de menú del día con varias alternativas.",3.57,61
3750,Casa Fusión,india,Málaga,"Incluye opciones sin gluten bajo petición. Especializado en ramen casero con caldo de larga cocción, resulta ideal para celebraciones familiares. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina gallega situado en un entorno elegante pero cercano.",4.31,55
3751,Ramen Roma,japonesa,Santiago,"Restaurante de cocina vegana situado en un entorno elegante pero cercano. Incluye opciones sin gluten bajo petición. Se pueden adaptar platos al gusto del cliente. Especializado en platos de cuchara tradicionales, resulta ideal para brunch de fin de semana.",4.55,113
3752,Tapas Do Sol,china,Málaga,"La cocina es visible desde la sala principal. Restaurante de cocina india situado en un entorno elegante pero cercano. La presentación de los platos está muy cuidada. Especializado en postres caseros inspirados en recetas locales, resulta ideal para eventos de empresa.",4.25,485
3753,Fonda Zen,vegana,Sevilla,"Especializado en sushi fresco preparado al momento, resulta ideal para brunch de fin de semana. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. El local admite reservas para grupos grandes.",4.36,395
3754,Osteria Bella,gallega,Bilbao,"La cocina es visible desde la sala principal. La relación calidad-precio es uno de sus puntos fuertes. Especializado en carnes a la brasa de larga maduración, resulta ideal para comidas de negocio. Restaurante de cocina healthy situado en un entorno romántico con iluminación tenue.",4.06,218
3755,Veggie Viva,china,Valencia,"Ofrece opciones para vegetarianos y celíacos. Especializado en ramen casero con caldo de larga cocción, resulta ideal para eventos de empresa. Restaurante de cocina japonesa situado en un entorno acogedor y cálido. La presentación de los platos está muy cuidada.",4.81,318
3756,Pizzería Lumière,japonesa,Lugo,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para eventos de empresa. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina italiana situado en un entorno informal y desenfadado. El servicio es cercano y cuida cada detalle.",4.2,208
3757,Casa House,china,Málaga,"Restaurante de cocina china situado en un entorno animado y perfecto para grupos. El espacio combina mesas altas y bajas. La cocina es visible desde la sala principal. Especializado en tacos mexicanos con salsas caseras, resulta ideal para cenas en pareja.",4.7,246
3758,Tapas Delicias,china,Madrid,"Especializado en platos de cuchara tradicionales, resulta ideal para comidas de negocio. Suele incorporar sugerencias fuera de carta. Restaurante de cocina italiana situado en un entorno urbano de estilo industrial. Cuenta con carta de vinos seleccionada y cervezas artesanas.",4.16,234
3759,Trattoria Select,fusión,Lugo,"Suele incorporar sugerencias fuera de carta. Incluye opciones sin gluten bajo petición. Restaurante de cocina japonesa situado en un entorno animado y perfecto para grupos. Especializado en tacos mexicanos con salsas caseras, resulta ideal para reuniones informales.",4.41,21
3760,Asador Castellana,italiana,Málaga,"Dispone de menú del día con varias alternativas. Restaurante de cocina mexicana situado en un entorno urbano de estilo industrial. Especializado en carnes a la brasa de larga maduración, resulta ideal para comidas de negocio. Se pueden adaptar platos al gusto del cliente.",3.85,321
3761,Tandoori Delicias,fusión,Bilbao,"Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana. La relación calidad-precio es uno de sus puntos fuertes. Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina japonesa situado en un entorno tranquilo y silencioso.",4.99,417
3762,Tandoori Galicia,mediterránea,Bilbao,"El equipo de cocina apuesta por sabores intensos. La música de fondo crea un ambiente agradable. Restaurante de cocina vegana situado en un entorno urbano de estilo industrial. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas rápidas entre semana.",4.79,340
3763,Sushi Gourmet,healthy,Valencia,"La relación calidad-precio es uno de sus puntos fuertes. La cocina es visible desde la sala principal. Especializado en tapas variadas para compartir, resulta ideal para eventos de empresa. Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos.",4.42,215
3764,Brasserie Select,mediterránea,Madrid,"Dispone de menú del día con varias alternativas. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina italiana situado en un entorno elegante pero cercano. Especializado en ramen casero con caldo de larga cocción, resulta ideal para reuniones informales.",3.93,180
3765,Osteria Viva,healthy,Lugo,"Especializado en sushi fresco preparado al momento, resulta ideal para cenas en pareja. Restaurante de cocina japonesa situado en un entorno elegante pero cercano. La mayoría de los ingredientes son de proximidad. Incluye opciones sin gluten bajo petición.",4.58,218
3766,Tandoori Viva,vegana,Santiago,"Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso. La relación calidad-precio es uno de sus puntos fuertes. Especializado en carnes a la brasa de larga maduración, resulta ideal para cenas en pareja. Incluye opciones sin gluten bajo petición.",4.87,338
3767,Cantina Bella,india,Lugo,"Incluye opciones sin gluten bajo petición. Especializado en pizzas artesanales al horno de leña, resulta ideal para salidas con amigos. Restaurante de cocina healthy situado en un entorno tranquilo y silencioso. El espacio combina mesas altas y bajas.",3.82,409
3768,Curry Atlántico,vegana,Sevilla,"Dispone de menú del día con varias alternativas. Se pueden adaptar platos al gusto del cliente. Especializado en postres caseros inspirados en recetas locales, resulta ideal para salidas con amigos. Restaurante de cocina italiana situado en un entorno informal y desenfadado.",3.57,396
3769,Brasserie Zen,japonesa,Ourense,"Restaurante de cocina americana situado en un entorno tranquilo y silencioso. Se pueden adaptar platos al gusto del cliente. Dispone de menú del día con varias alternativas. Especializado en tapas variadas para compartir, resulta ideal para eventos de empresa.",3.82,31
3770,Brasserie Rica,mexicana,Málaga,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas rápidas entre semana. Restaurante de cocina india situado en un entorno animado y perfecto para grupos. Cuenta con carta de vinos seleccionada y cervezas artesanas. El equipo de cocina apuesta por sabores intensos.",3.73,495
3771,Curry Gourmet,gallega,Sevilla,"Restaurante de cocina india situado en un entorno romántico con iluminación tenue. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en sushi fresco preparado al momento, resulta ideal para comidas de negocio. El espacio combina mesas altas y bajas.",3.66,406
3772,Burger Centro,japonesa,A Coruña,"El servicio es cercano y cuida cada detalle. Especializado en ramen casero con caldo de larga cocción, resulta ideal para reuniones informales. Suele incorporar sugerencias fuera de carta. Restaurante de cocina vegana situado en un entorno informal y desenfadado.",4.93,223
3773,Tapas Atlántico,japonesa,Vigo,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para celebraciones familiares. La cocina es visible desde la sala principal. La mayoría de los ingredientes son de proximidad. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos.",3.66,282
3774,Burger Atlántico,vegana,Barcelona,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. El local admite reservas para grupos grandes. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina fusión situado en un entorno urbano de estilo industrial.",4.31,484
3775,Cantina Atlántico,healthy,Valencia,"Suele incorporar sugerencias fuera de carta. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas rápidas entre semana. Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos. Dispone de menú del día con varias alternativas.",3.51,393
3776,Fonda Centro,gallega,Pontevedra,"Restaurante de cocina healthy situado en un entorno informal y desenfadado. Incluye opciones sin gluten bajo petición. Especializado en platos de cuchara tradicionales, resulta ideal para comidas rápidas entre semana. Se pueden adaptar platos al gusto del cliente.",4.92,114
3777,Asador Gourmet,fusión,Lugo,"Restaurante de cocina japonesa situado en un entorno moderno y luminoso. Suele incorporar sugerencias fuera de carta. Especializado en pizzas artesanales al horno de leña, resulta ideal para reuniones informales. La cocina es visible desde la sala principal.",4.51,73
3778,Grill Select,mediterránea,A Coruña,"Incluye opciones sin gluten bajo petición. Es habitual encontrar productos de temporada en el menú. Especializado en carnes a la brasa de larga maduración, resulta ideal para salidas con amigos. Restaurante de cocina italiana situado en un entorno moderno y luminoso.",3.81,469
3779,Steakhouse Centro,italiana,Valencia,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas de negocio. El espacio combina mesas altas y bajas. Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina vegana situado en un entorno urbano de estilo industrial.",3.74,30
3780,Bistro Bella,mexicana,Bilbao,"Especializado en pizzas artesanales al horno de leña, resulta ideal para eventos de empresa. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos. La música de fondo crea un ambiente agradable. El equipo de cocina apuesta por sabores intensos.",4.13,207
3781,Curry Do Sol,americana,Lugo,"Incluye opciones sin gluten bajo petición. Restaurante de cocina gallega situado en un entorno elegante pero cercano. La mayoría de los ingredientes son de proximidad. Especializado en carnes a la brasa de larga maduración, resulta ideal para cenas en pareja.",4.89,107
3782,Sushi Lumière,china,Madrid,"Restaurante de cocina mexicana situado en un entorno urbano de estilo industrial. Dispone de menú del día con varias alternativas. La presentación de los platos está muy cuidada. Especializado en sushi fresco preparado al momento, resulta ideal para celebraciones familiares.",3.55,220
3783,Burger Urbano,china,Madrid,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos. Ofrece opciones para vegetarianos y celíacos. Restaurante de cocina healthy situado en un entorno urbano de estilo industrial. Es habitual encontrar productos de temporada en el menú.",3.65,427
3784,Bistro Viva,italiana,Barcelona,"La relación calidad-precio es uno de sus puntos fuertes. Ofrece opciones para vegetarianos y celíacos. Especializado en pizzas artesanales al horno de leña, resulta ideal para cenas en pareja. Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos.",4.61,493
3785,Wok Galicia,mexicana,Lugo,"La mayoría de los ingredientes son de proximidad. Restaurante de cocina mediterránea situado en un entorno moderno y luminoso. La música de fondo crea un ambiente agradable. Especializado en ensaladas healthy con productos de temporada, resulta ideal para reuniones informales.",4.44,94
3786,Asador House,gallega,Vigo,"El espacio combina mesas altas y bajas. Especializado en tacos mexicanos con salsas caseras, resulta ideal para celebraciones familiares. Restaurante de cocina fusión situado en un entorno acogedor y cálido. La música de fondo crea un ambiente agradable.",4.39,39
3787,Sushi Roma,vegana,Madrid,"El local admite reservas para grupos grandes. Especializado en tacos mexicanos con salsas caseras, resulta ideal para salidas con amigos. Restaurante de cocina americana situado en un entorno romántico con iluminación tenue. La relación calidad-precio es uno de sus puntos fuertes.",3.73,440
3788,Ramen Zen,india,Valencia,"Restaurante de cocina mexicana situado en un entorno informal y desenfadado. Incluye opciones sin gluten bajo petición. Especializado en platos de cuchara tradicionales, resulta ideal para comidas rápidas entre semana. La presentación de los platos está muy cuidada.",3.88,139
3789,Taberna Friends,italiana,Madrid,"Suele incorporar sugerencias fuera de carta. Restaurante de cocina mexicana situado en un entorno elegante pero cercano. Especializado en platos de cuchara tradicionales, resulta ideal para reuniones informales. Dispone de menú del día con varias alternativas.",4.83,122
3790,Sushi House,china,Zaragoza,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos. Restaurante de cocina mediterránea situado en un entorno moderno y luminoso. Incluye opciones sin gluten bajo petición. Es habitual encontrar productos de temporada en el menú.",4.92,483
3791,Osteria Friends,mediterránea,A Coruña,"El local admite reservas para grupos grandes. Es habitual encontrar productos de temporada en el menú. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para celebraciones familiares. Restaurante de cocina mediterránea situado en un entorno urbano de estilo industrial.",3.77,164
3792,Asador Viva,italiana,Santiago,"Restaurante de cocina healthy situado en un entorno moderno y luminoso. El local admite reservas para grupos grandes. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas de negocio. La mayoría de los ingredientes son de proximidad.",4.64,344
3793,Wok Lumière,americana,Santiago,"La presentación de los platos está muy cuidada. Restaurante de cocina india situado en un entorno animado y perfecto para grupos. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana.",4.88,229
3794,Burger Rica,healthy,Zaragoza,"Restaurante de cocina italiana situado en un entorno romántico con iluminación tenue. La mayoría de los ingredientes son de proximidad. Especializado en postres caseros inspirados en recetas locales, resulta ideal para cenas en pareja. Dispone de menú del día con varias alternativas.",4.87,426
3795,Cantina Centro,mexicana,Barcelona,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina healthy situado en un entorno urbano de estilo industrial. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio.",4.79,135
3796,Brasserie World,vegana,Barcelona,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas rápidas entre semana. Restaurante de cocina healthy situado en un entorno tranquilo y silencioso. El local admite reservas para grupos grandes. El equipo de cocina apuesta por sabores intensos.",3.75,286
3797,Bistro Centro,fusión,Málaga,"Es habitual encontrar productos de temporada en el menú. Especializado en tapas variadas para compartir, resulta ideal para brunch de fin de semana. Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos. El local admite reservas para grupos grandes.",4.54,233
3798,Ramen Gourmet,india,Barcelona,"Especializado en platos de cuchara tradicionales, resulta ideal para eventos de empresa. La cocina es visible desde la sala principal. Restaurante de cocina mexicana situado en un entorno moderno y luminoso. Suele incorporar sugerencias fuera de carta.",3.85,349
3799,Curry Friends,japonesa,Santiago,"Se pueden adaptar platos al gusto del cliente. Restaurante de cocina gallega situado en un entorno tranquilo y silencioso. Especializado en sushi fresco preparado al momento, resulta ideal para brunch de fin de semana. El servicio es cercano y cuida cada detalle.",3.65,325
3800,Steakhouse World,india,Madrid,"Suele incorporar sugerencias fuera de carta. El servicio es cercano y cuida cada detalle. Restaurante de cocina vegana situado en un entorno acogedor y cálido. Especializado en tapas variadas para compartir, resulta ideal para comidas rápidas entre semana.",4.32,429
3801,Osteria Castellana,gallega,Ourense,"La mayoría de los ingredientes son de proximidad. Ofrece opciones para vegetarianos y celíacos. Especializado en ramen casero con caldo de larga cocción, resulta ideal para reuniones informales. Restaurante de cocina americana situado en un entorno urbano de estilo industrial.",3.77,409
3802,Tapas Delicias,vegana,Santiago,"Restaurante de cocina japonesa situado en un entorno informal y desenfadado. Suele incorporar sugerencias fuera de carta. El local admite reservas para grupos grandes. Especializado en carnes a la brasa de larga maduración, resulta ideal para brunch de fin de semana.",3.6,188
3803,Bistro Rica,india,Lugo,"Restaurante de cocina gallega situado en un entorno urbano de estilo industrial. Ofrece opciones para vegetarianos y celíacos. Es habitual encontrar productos de temporada en el menú. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas de negocio.",4.8,346
3804,Osteria World,india,Barcelona,"La relación calidad-precio es uno de sus puntos fuertes. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. Restaurante de cocina japonesa situado en un entorno acogedor y cálido. Cuenta con carta de vinos seleccionada y cervezas artesanas.",3.92,124
3805,Tapas World,gallega,Bilbao,"El equipo de cocina apuesta por sabores intensos. Especializado en sushi fresco preparado al momento, resulta ideal para celebraciones familiares. Restaurante de cocina vegana situado en un entorno urbano de estilo industrial. Ofrece opciones para vegetarianos y celíacos.",4.96,289
3806,Fonda Lumière,vegana,A Coruña,"Especializado en sushi fresco preparado al momento, resulta ideal para comidas de negocio. La mayoría de los ingredientes son de proximidad. Restaurante de cocina italiana situado en un entorno informal y desenfadado. Cuenta con carta de vinos seleccionada y cervezas artesanas.",3.76,363
3807,Taberna World,china,Santiago,"Incluye opciones sin gluten bajo petición. Restaurante de cocina vegana situado en un entorno romántico con iluminación tenue. El espacio combina mesas altas y bajas. Especializado en platos de cuchara tradicionales, resulta ideal para salidas con amigos.",3.52,489
3808,Curry Bella,china,Zaragoza,"Es habitual encontrar productos de temporada en el menú. La cocina es visible desde la sala principal. Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana. Restaurante de cocina healthy situado en un entorno elegante pero cercano.",4.19,39
3809,Curry Select,china,A Coruña,"El equipo de cocina apuesta por sabores intensos. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares. El servicio es cercano y cuida cada detalle. Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos.",4.47,227
3810,Asador Lumière,healthy,Lugo,"Restaurante de cocina vegana situado en un entorno moderno y luminoso. La presentación de los platos está muy cuidada. Especializado en postres caseros inspirados en recetas locales, resulta ideal para celebraciones familiares. El local admite reservas para grupos grandes.",3.73,121
3811,Sushi Rica,italiana,Valencia,"Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares. Restaurante de cocina vegana situado en un entorno animado y perfecto para grupos. El equipo de cocina apuesta por sabores intensos. El local admite reservas para grupos grandes.",4.68,37
3812,Ramen Gourmet,india,Ourense,"Restaurante de cocina italiana situado en un entorno moderno y luminoso. Especializado en ensaladas healthy con productos de temporada, resulta ideal para salidas con amigos. El equipo de cocina apuesta por sabores intensos. Incluye opciones sin gluten bajo petición.",3.95,116
3813,Grill Del Mar,healthy,Bilbao,"La presentación de los platos está muy cuidada. Dispone de menú del día con varias alternativas. Restaurante de cocina healthy situado en un entorno informal y desenfadado. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas rápidas entre semana.",4.71,470
3814,Fonda Fusión,mediterránea,Lugo,"Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina italiana situado en un entorno acogedor y cálido. La cocina es visible desde la sala principal.",4.39,288
3815,Casa Urbano,vegana,Valencia,"Restaurante de cocina mediterránea situado en un entorno elegante pero cercano. El equipo de cocina apuesta por sabores intensos. Incluye opciones sin gluten bajo petición. Especializado en tapas variadas para compartir, resulta ideal para comidas de negocio.",4.04,133
3816,Wok Del Mar,americana,Lugo,"La mayoría de los ingredientes son de proximidad. Restaurante de cocina americana situado en un entorno elegante pero cercano. Especializado en carnes a la brasa de larga maduración, resulta ideal para eventos de empresa. El local admite reservas para grupos grandes.",3.73,137
3817,Casa Select,mediterránea,Pontevedra,"Especializado en tapas variadas para compartir, resulta ideal para comidas de negocio. Restaurante de cocina gallega situado en un entorno tranquilo y silencioso. El equipo de cocina apuesta por sabores intensos. Dispone de menú del día con varias alternativas.",4.46,471
3818,Veggie Fusión,china,Sevilla,"Especializado en tapas variadas para compartir, resulta ideal para reuniones informales. El equipo de cocina apuesta por sabores intensos. La cocina es visible desde la sala principal. Restaurante de cocina india situado en un entorno acogedor y cálido.",4.96,77
3819,Curry House,vegana,Santiago,"La música de fondo crea un ambiente agradable. Restaurante de cocina vegana situado en un entorno romántico con iluminación tenue. Especializado en carnes a la brasa de larga maduración, resulta ideal para cenas en pareja. El espacio combina mesas altas y bajas.",3.55,273
3820,Trattoria Select,fusión,A Coruña,"Especializado en platos de cuchara tradicionales, resulta ideal para comidas de negocio. Restaurante de cocina china situado en un entorno elegante pero cercano. El servicio es cercano y cuida cada detalle. Es habitual encontrar productos de temporada en el menú.",3.93,261
3821,Tandoori Zen,china,Santiago,"Restaurante de cocina vegana situado en un entorno acogedor y cálido. La música de fondo crea un ambiente agradable. El equipo de cocina apuesta por sabores intensos. Especializado en postres caseros inspirados en recetas locales, resulta ideal para salidas con amigos.",4.7,265
3822,Grill Fusión,mexicana,Valencia,"Especializado en ensaladas healthy con productos de temporada, resulta ideal para celebraciones familiares. El local admite reservas para grupos grandes. La mayoría de los ingredientes son de proximidad. Restaurante de cocina mexicana situado en un entorno informal y desenfadado.",4.97,342
3823,Grill Galicia,americana,A Coruña,"Restaurante de cocina healthy situado en un entorno elegante pero cercano. Especializado en tapas variadas para compartir, resulta ideal para salidas con amigos. El servicio es cercano y cuida cada detalle. El equipo de cocina apuesta por sabores intensos.",4.2,422
3824,Curry Del Mar,mexicana,A Coruña,"El equipo de cocina apuesta por sabores intensos. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares. El local admite reservas para grupos grandes. Restaurante de cocina mexicana situado en un entorno romántico con iluminación tenue.",4.49,459
3825,Brasserie Zen,mexicana,A Coruña,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Cuenta con carta de vinos seleccionada y cervezas artesanas. La mayoría de los ingredientes son de proximidad.",4.77,346
3826,Fonda Del Mar,mexicana,Santiago,"Cuenta con carta de vinos seleccionada y cervezas artesanas. La presentación de los platos está muy cuidada. Restaurante de cocina fusión situado en un entorno moderno y luminoso. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para cenas en pareja.",3.59,274
3827,Curry World,japonesa,Barcelona,"La cocina es visible desde la sala principal. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina fusión situado en un entorno acogedor y cálido. Especializado en ramen casero con caldo de larga cocción, resulta ideal para salidas con amigos.",4.32,493
3828,Steakhouse World,china,Málaga,"Restaurante de cocina vegana situado en un entorno moderno y luminoso. La relación calidad-precio es uno de sus puntos fuertes. Especializado en ramen casero con caldo de larga cocción, resulta ideal para eventos de empresa. Cuenta con carta de vinos seleccionada y cervezas artesanas.",3.53,360
3829,Pizzería Gourmet,japonesa,Lugo,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para celebraciones familiares. El local admite reservas para grupos grandes. Restaurante de cocina americana situado en un entorno elegante pero cercano. Es habitual encontrar productos de temporada en el menú.",4.64,364
3830,Brasserie Atlántico,fusión,Barcelona,"Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana. Restaurante de cocina healthy situado en un entorno animado y perfecto para grupos. Ofrece opciones para vegetarianos y celíacos. La mayoría de los ingredientes son de proximidad.",4.17,202
3831,Brasserie Gourmet,fusión,Málaga,"La mayoría de los ingredientes son de proximidad. Restaurante de cocina india situado en un entorno romántico con iluminación tenue. Especializado en tacos mexicanos con salsas caseras, resulta ideal para celebraciones familiares. Ofrece opciones para vegetarianos y celíacos.",4.61,275
3832,Asador Gourmet,china,A Coruña,"La presentación de los platos está muy cuidada. Incluye opciones sin gluten bajo petición. Especializado en sushi fresco preparado al momento, resulta ideal para cenas en pareja. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos.",4.65,483
3833,Tandoori World,italiana,Bilbao,"Especializado en sushi fresco preparado al momento, resulta ideal para reuniones informales. Cuenta con carta de vinos seleccionada y cervezas artesanas. La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina fusión situado en un entorno informal y desenfadado.",4.98,59
3834,Wok Lumière,japonesa,A Coruña,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para brunch de fin de semana. Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina italiana situado en un entorno moderno y luminoso. La relación calidad-precio es uno de sus puntos fuertes.",4.02,491
3835,Casa Urbano,healthy,Sevilla,"La presentación de los platos está muy cuidada. Especializado en ensaladas healthy con productos de temporada, resulta ideal para cenas en pareja. Restaurante de cocina gallega situado en un entorno informal y desenfadado. El servicio es cercano y cuida cada detalle.",4.59,271
3836,Sushi Friends,japonesa,Vigo,"Se pueden adaptar platos al gusto del cliente. Incluye opciones sin gluten bajo petición. Restaurante de cocina india situado en un entorno informal y desenfadado. Especializado en ramen casero con caldo de larga cocción, resulta ideal para celebraciones familiares.",4.03,349
